Minisector,SAI,ALB,Fastest
0,284.1770969025451,282.66955112699816,SAI
1,150.30020821966835,146.9530431362489,SAI
2,156.17144552085048,160.91048351213374,ALB
3,241.95865671143892,239.29585976845718,SAI
4,263.0221173625859,260.5162113629304,SAI
5,230.37855824516694,215.9737835163982,SAI
6,205.46046409764773,199.35238021460404,SAI
7,139.68703699870417,141.09222389048543,ALB
8,228.88232389438423,228.84308080332113,SAI
9,297.98178396645505,296.7417839492456,SAI
10,320.6929686166667,323.50023451172666,ALB
11,320.2202384800436,327.55653120676317,ALB
12,313.7951339085714,320.7856536941565,ALB
13,308.60457868883117,306.0011201301638,SAI
14,126.57798024582091,119.93387174382462,SAI
15,118.23268502393141,112.25180636007545,SAI
16,102.13940420600045,106.90106958362001,ALB
17,238.19559790976433,243.99789492783646,ALB
18,302.83766929862713,304.16490226161346,ALB
19,318.82318147369836,315.19861098922615,SAI
20,316.4836111644444,315.0984679579333,SAI
21,314.87368424421055,313.6637188155964,SAI
22,117.27754813754511,114.38694712640576,SAI
23,204.8150678649916,209.43426038393767,ALB
24,270.16122842242686,273.8725714187255,ALB
