Minisector,RIC,ALO,Fastest
0,266.662194076822,279.5680991675235,ALO
1,284.44008474009144,306.8614279720635,ALO
2,290.8272654565375,310.93750013333334,ALO
3,136.58839914829437,123.8504507980268,RIC
4,197.41496222475533,200.69526023273775,ALO
5,255.79140031378023,260.735418718406,ALO
6,148.15123654006732,134.2100204912845,RIC
7,204.78798804162872,207.92876940457774,ALO
8,255.50405290741347,258.7737720988899,ALO
9,278.14128975904197,277.8530156707702,RIC
10,246.24313012098713,224.9035106305188,RIC
11,185.7411520204357,173.7471753206065,RIC
12,193.58433525393932,196.48524523872808,ALO
13,152.57864623081036,135.50890831489747,RIC
14,174.2752257659097,174.16468268337692,RIC
15,161.5752291730674,157.28925832385858,RIC
16,217.89424766984126,221.56343514862778,ALO
17,234.43801563972033,226.32117827263085,RIC
18,238.6496399422952,241.68227890755583,ALO
19,246.504166933853,220.94209606688682,RIC
20,147.17752669963642,147.11754292068062,RIC
21,138.900352319121,122.9891183671915,RIC
22,171.55619959262782,171.88932427195385,ALO
23,153.45251555767769,144.7010595302276,RIC
24,226.5016974296472,231.37253380404346,ALO
25,254.95833066666665,,RIC
