Minisector,BOT,ALB,Fastest
0,305.20818104280613,305.7092547380755,ALB
1,319.9743574745206,321.72526459732023,ALB
2,288.8529311547524,297.19831534475304,ALB
3,114.96432596379833,105.41442728412036,BOT
4,226.31442851607756,228.36820772808167,ALB
5,274.825,283.1881122653036,ALB
6,226.21311012086238,211.2750720780003,BOT
7,167.2470763966651,158.81389700791948,BOT
8,202.4757597878165,191.05087358798124,BOT
9,220.12244199947762,201.8699196137137,BOT
10,115.14229539599239,110.4395592810606,BOT
11,228.8800478475381,225.59346696314836,BOT
12,116.3751729082292,117.85441340069752,ALB
13,223.702617459225,221.74372650993521,BOT
14,272.2925423897226,271.4383304045114,BOT
15,227.93538339704224,209.15457275478863,BOT
16,198.72293486180462,196.8240588183911,BOT
17,254.69520097578567,248.26285358475363,BOT
18,209.12955991544368,199.05938351213692,BOT
19,184.18931580678682,186.7096980211675,ALB
20,269.02284562963746,269.74725975319075,ALB
21,294.5531954689212,295.39208440699844,ALB
22,160.69227826172366,159.42510434871028,BOT
23,208.53103046663168,209.5125500289368,ALB
24,272.98798712477515,271.0229174204655,BOT
25,286.37916693333335,,BOT
