Minisector,PER,RUS,Fastest
0,269.52387246547863,270.5695008571428,RUS
1,291.6524077035498,287.8669309931948,PER
2,283.4763895163823,276.7272617064713,PER
3,156.73931747887957,146.5537477272369,PER
4,192.30004616097108,186.39628378304118,PER
5,167.8112922816259,170.06438874395826,RUS
6,157.3229982556391,157.98415644821026,RUS
7,183.28128014943348,182.25712658913574,PER
8,235.24137475566883,234.34134280129783,PER
9,229.35852198772457,232.95276496507935,RUS
10,141.34639558919247,138.64365453901854,PER
11,218.3741441611729,214.7671130394976,PER
12,104.43311963228987,103.00051707491379,PER
13,212.7929616336939,205.8079936035338,PER
14,264.9914977004316,262.7037083854968,PER
15,272.9281378937198,274.12096154920636,RUS
16,169.79553783015643,172.69573649679282,RUS
17,152.1582498030044,153.78181175969766,RUS
18,250.0329074333054,248.62643555801213,PER
19,281.2033806714834,275.3662217866667,PER
20,294.56862772298365,285.7237785374741,PER
21,287.9401655185083,282.9128924404816,PER
22,232.3840602748924,250.43111130945297,RUS
23,100.17622373091719,100.71100892550416,RUS
24,216.44392655069146,222.01329491126435,RUS
25,254.520832,257.00750016,RUS
