Minisector,NOR,PER,Fastest
0,302.7773359030303,306.91494789666666,PER
1,230.78187451481824,237.26218712874294,PER
2,135.63890714124778,130.07597190934746,NOR
3,219.24820695804368,219.73449494365713,PER
4,264.13890248804233,260.5915052912568,NOR
5,287.14950534253967,292.47087024857143,PER
6,300.0305273703156,311.78066309224494,PER
7,276.69231821027074,259.47112756108265,NOR
8,173.23310789082825,167.32219217529138,NOR
9,241.1883994259321,241.71124882851387,PER
10,274.3091077851429,268.5785603885714,NOR
11,273.7088215051543,250.28184844734423,NOR
12,220.78412440071773,203.0357530920088,NOR
13,132.71382018717725,117.14668829423299,NOR
14,126.5498895607444,126.47532900668628,NOR
15,168.71691884813393,146.8688875220777,NOR
16,126.16280757651872,134.46839703816295,PER
17,234.4353022576441,229.95978415619047,NOR
18,179.58409553627777,145.9808227177642,NOR
19,161.09130422179894,171.1374500683525,PER
20,248.94252452562193,249.6312892219947,PER
21,276.4327765900187,276.109145714954,NOR
22,291.19774010753247,295.8124674124675,PER
23,299.9904433038184,312.07936486603177,PER
24,302.6290102320921,321.40401152115436,PER
25,304.0,,NOR
