Minisector,OCO,RIC,Fastest
0,317.55666613333335,308.76388402565874,OCO
1,329.25019495416444,320.19249346031745,OCO
2,335.0196759703704,320.4293981037037,OCO
3,222.14407216410257,224.33714862050726,RIC
4,224.550350288276,226.5424672820513,RIC
5,113.11858225613925,113.43874019229087,RIC
6,212.3617548952381,218.81295764467,RIC
7,264.3948406349206,271.7755952111965,RIC
8,224.92466998921378,223.87068279279623,OCO
9,115.74138267354448,116.33050955381427,RIC
10,232.26583244190476,237.05240885773128,RIC
11,243.49891334492753,249.26141078562344,RIC
12,135.12698883809523,130.72979413424875,OCO
13,210.85333892563827,215.68751996127577,RIC
14,266.1826294372294,268.8057535492063,RIC
15,219.88905340613758,220.47665916269557,RIC
16,156.8003459259259,154.9103514886885,OCO
17,234.78990262046298,239.80357160000003,RIC
18,123.43654949487727,119.41497865689435,OCO
19,144.99177115047618,139.94363846577727,OCO
20,189.14095711031385,191.6851496972564,RIC
21,254.52800140455486,261.0168554181818,RIC
22,273.3254972140888,275.3392483744935,RIC
23,282.20456335238094,280.106132912976,OCO
24,292.08832177052153,287.05711292952384,OCO
