Minisector,HAM,LEC,Fastest
0,234.48746153700435,231.10433996645295,HAM
1,285.52931228782717,281.25424764100933,HAM
2,302.1200757818182,294.75971312638086,HAM
3,308.60479168,299.70416659393936,HAM
4,278.48987092537817,265.63970073827664,HAM
5,174.61218292311963,168.69417989153183,HAM
6,265.12707568451935,260.46866611559153,HAM
7,282.5625541610389,281.0001983105064,HAM
8,218.1357975793257,214.4655406692983,HAM
9,221.18461972016462,216.14445702030395,HAM
10,195.16181386897546,183.664006126976,HAM
11,223.43350762405677,224.7293199633157,LEC
12,204.5122112639017,201.66261201043812,HAM
13,221.85630028584887,214.1845753444992,HAM
14,222.76307498456487,216.2695993959184,HAM
15,181.43834369808008,183.24656758205393,LEC
16,251.11112018451774,248.6180541777778,HAM
17,293.64594551458777,288.9577309533264,HAM
18,312.3208333333333,304.429223169161,HAM
19,302.2813490285714,293.3631350863342,HAM
20,132.54875661663547,130.86152232772972,HAM
21,167.6399010813977,168.2062565699206,LEC
22,155.27273594554345,146.434775908469,HAM
23,204.4242126311172,205.74397639387863,LEC
24,147.80884063749966,143.5281248796537,HAM
25,187.33333333333331,179.65,HAM
