Minisector,VER,HAD,Fastest
0,282.42368812867727,295.6410336769144,HAD
1,150.97015674119984,150.74709749845135,VER
2,237.84364376046574,223.04765974859828,VER
3,285.4952571552778,282.3652539579677,VER
4,312.7900996769766,311.32239555555554,VER
5,308.60593585981,297.18405624407825,VER
6,155.26352233206154,150.7349422630601,VER
7,253.40155685921837,240.84186188691464,VER
8,114.56550924868436,112.89501680023791,VER
9,177.0062049506899,173.3762350551568,VER
10,275.74944835344695,271.38583136705915,VER
11,301.5703499227429,301.04614347962104,VER
12,213.60561411290828,211.39576597099406,VER
13,171.38916929895873,169.49097497605305,VER
14,281.84112308451347,280.1830467383873,VER
15,314.09320415478675,312.9089250852465,VER
16,326.6801019616557,327.0683197745223,HAD
17,332.4710177462857,334.2824218,HAD
18,335.77268669123174,336.61175594285714,HAD
19,337.6128344493424,334.2825747443074,VER
20,198.80794091209387,183.34000648970806,VER
21,182.24773223073396,178.2192476890736,VER
22,282.6551872490472,280.24295882250607,VER
23,311.96036176255654,312.86910872622826,HAD
24,322.01663890460156,319.12610068624,VER
