Minisector,LEC,BEA,Fastest
0,273.3565139003752,272.1816341714286,LEC
1,250.72682185043476,247.54717790970787,LEC
2,122.30797065502398,119.23609090094861,LEC
3,174.35562867642858,168.91591455904762,LEC
4,195.50861479801858,192.04575363202477,LEC
5,199.32146725583814,198.36383854314573,LEC
6,264.80980141714286,263.60797779963457,LEC
7,286.9132007017544,285.6932021894737,LEC
8,245.54214405547725,233.0771873223182,LEC
9,151.83461371020474,148.053785053287,LEC
10,121.13830288158762,120.78326094336177,LEC
11,164.41183676765868,161.91958105333262,LEC
12,246.54561136900432,247.64156770575963,BEA
13,153.7658150859011,158.41620155852286,BEA
14,138.2792694467668,139.88557831075727,BEA
15,107.1295772529445,107.27997290066966,BEA
16,212.5663378697143,216.33428476922268,BEA
17,242.5296306415054,241.91274516063493,LEC
18,129.65732149867245,128.84997504797383,LEC
19,235.60427180215873,240.99493596250915,BEA
20,275.78185292631576,275.2015433038961,LEC
21,195.2618081021744,211.35262450703223,BEA
22,145.40406075928038,144.2625569222667,LEC
23,218.5541722294906,225.1865138439239,BEA
24,230.64438852571894,231.90759274978356,BEA
25,258.703124,259.3727290181818,BEA
