Minisector,STR,ALO,Fastest
0,281.86556722096327,279.6309051410728,STR
1,139.0042937082666,138.98831583378512,STR
2,212.1649866601271,204.4505305412782,STR
3,277.73222816646285,268.14877304829304,STR
4,308.9545157757098,318.2707059326055,ALO
5,295.5665526090386,291.01428480408964,STR
6,149.2090669931654,142.84777971685446,STR
7,241.95846581529608,246.14116775708086,ALO
8,112.13454946421606,109.25076463367543,STR
9,160.43748220168916,159.54217292138134,STR
10,273.14021241417294,274.0867019970518,ALO
11,295.7060310730083,296.8158125717883,ALO
12,219.78759587238687,241.20581187792158,ALO
13,172.06847755437164,164.35774402170662,STR
14,273.08661232014947,267.72302901759997,STR
15,308.8487982305465,308.9802089946366,ALO
16,321.4336368992299,320.70797241373896,STR
17,328.68760324204777,331.03768605225804,ALO
18,330.7554261167702,340.476297096211,ALO
19,326.247196919916,345.5773280668783,ALO
20,211.74770698285715,186.92182756851176,STR
21,161.00903039554288,163.27095568857408,ALO
22,278.4181436388955,277.94589976554784,STR
23,309.46067703583117,309.78738504854175,ALO
24,318.5277566401459,323.362265684076,ALO
25,314.0,,STR
