Minisector,VER,RAI,Fastest
0,290.9370106352941,296.0720760981288,RAI
1,293.4323521882353,306.94611107555556,RAI
2,173.87870222615294,170.01679199616174,VER
3,228.36622220190475,230.35118958730158,RAI
4,275.38406958431375,284.79236990156073,RAI
5,294.12924655746036,303.23422605714285,RAI
6,297.66582612436974,309.890625,RAI
7,169.09627478095237,177.31704328894307,RAI
8,137.60838973185201,132.714963412128,VER
9,251.01984292063491,256.002394369884,RAI
10,282.87447550028014,287.4477178565079,RAI
11,288.5775490342071,299.2546568853312,RAI
12,151.7225776344086,153.77609770733042,RAI
13,202.45540715636525,193.70889493959683,VER
14,258.0888894222222,264.7362455483512,RAI
15,206.40964882696423,208.61179835151515,RAI
16,223.4722409974026,224.0427852184333,RAI
17,212.13868952380952,218.10227345454544,RAI
18,247.2580921641166,246.61907811929822,VER
19,277.3397065411765,280.0714700423529,RAI
20,289.93538199347773,297.3296872,RAI
21,255.77148088742499,266.82526213333335,RAI
22,230.18624896,231.51901625955577,RAI
23,213.62438878874698,211.59239058550725,VER
24,267.7407149405647,270.07972242067194,RAI
25,,286.5249984,RAI
