Minisector,HAM,PIA,Fastest
0,274.5333773209529,272.47528071217397,HAM
1,299.57956079999997,296.3522386825397,HAM
2,312.267768167619,309.4643837962161,HAM
3,318.4057417804422,318.9001666346667,PIA
4,321.0956737429302,323.6995715311746,PIA
5,322.6861111365079,327.1017658514285,PIA
6,199.05725918837027,209.71971023763044,PIA
7,107.0364613600938,103.99174797400298,HAM
8,189.7773940694171,183.22607886628572,HAM
9,262.5665657050505,257.34902167987286,HAM
10,290.62218547092436,288.44955030944993,HAM
11,158.10195080360845,155.91794821418236,HAM
12,96.5904776026822,95.85918466106848,HAM
13,112.87925760912913,112.03069423696478,HAM
14,224.68295797493732,213.9511634266991,HAM
15,184.67838749634086,182.89110347371772,HAM
16,226.8809652603509,220.0827479005789,HAM
17,178.6336200902052,169.60053806888183,HAM
18,234.50101128698412,239.17557481781864,PIA
19,278.2644261928572,278.14443797557425,HAM
20,228.51865490777033,241.14718565015875,PIA
21,142.89965716563236,137.67686063950984,HAM
22,95.4100068283111,93.44639270032302,HAM
23,122.12741599450202,116.43993681339339,HAM
24,226.4950705347973,221.83885525405174,HAM
25,257.30192196923076,,HAM
