Minisector,LEC,OCO,Fastest
0,259.64464706097186,248.59362970369318,LEC
1,120.99345982749018,124.86171073249865,OCO
2,258.5632149217535,258.61406518479794,OCO
3,300.7375290096649,302.7188073695073,OCO
4,301.7943303284656,304.06255680783215,OCO
5,315.6281104594709,312.555811797551,LEC
6,330.0165585531539,315.9376663812987,LEC
7,332.96300240002887,311.12822509165716,LEC
8,191.34642802850087,197.8114194488254,OCO
9,184.98445415569267,183.072234270327,LEC
10,185.32469288491504,183.48810254316186,LEC
11,173.66270044123016,165.79455951507464,LEC
12,253.55509750631194,243.2747575011173,LEC
13,272.00440652022485,270.1492283830015,LEC
14,272.4850092728516,271.217292497954,LEC
15,274.16254889260506,269.5723079152842,LEC
16,176.3475697356698,168.5786839575572,LEC
17,183.38213776648374,175.99739670402775,LEC
18,230.33905774671055,226.23801094876677,LEC
19,278.29776843302835,276.60020800819086,LEC
20,299.1208072945314,300.3297428861214,OCO
21,303.53842536173164,308.79520121781985,OCO
22,303.8108288843956,305.85125477476896,OCO
23,259.6598468024454,264.03511944434825,OCO
24,111.41089467153606,110.26758860816858,LEC
25,224.12000256,215.76250026666665,LEC
