Minisector,RAI,KVY,Fastest
0,313.01907957894736,290.9664500516914,RAI
1,193.59965575252576,193.1788251836727,RAI
2,222.98079035297556,227.68809272477392,KVY
3,280.8144388441911,272.76544071406926,RAI
4,238.06286888555226,227.6742561051396,RAI
5,120.8587595663986,123.30442220770344,KVY
6,205.74744379978625,213.46637389189146,KVY
7,255.6608636532054,256.2928637164933,KVY
8,201.43486076893367,201.77141133698152,KVY
9,205.48102794728763,209.06747318962087,KVY
10,266.60423881721323,262.793771826051,RAI
11,204.72834970593948,201.16684018243816,RAI
12,170.3612431141812,184.78035518449468,KVY
13,261.5480229276631,261.59186916335557,KVY
14,286.72748232122126,280.05683172868567,RAI
15,260.4513585633142,259.09914326557157,RAI
16,243.24210106750658,244.63285993649123,KVY
17,282.4165334158789,273.7627064768914,RAI
18,305.9940713507969,286.6756218188381,RAI
19,166.79798621853706,179.11986115320616,KVY
20,198.261995835564,210.46910949747442,KVY
21,164.777240577695,164.85300564901084,KVY
22,137.60590293372198,144.0921873456923,KVY
23,241.95565592851776,241.1143455761192,RAI
24,292.1394659038123,282.01382685094507,RAI
25,304.94029856449094,,RAI
