Minisector,ALO,OCO,Fastest
0,298.3068730952381,304.2915366777778,OCO
1,210.8504250496032,212.10291477911503,OCO
2,138.5574997165772,135.7200011888285,ALO
3,217.30293502408972,216.58252248443682,ALO
4,161.68768400113848,152.95656217658046,ALO
5,172.01571252649046,167.98179017111718,ALO
6,247.6392211499118,248.22182603174602,OCO
7,275.4079731649123,276.8336887156922,OCO
8,281.6571758010582,283.32366067142857,OCO
9,252.9551927669841,265.5215087172789,OCO
10,240.1139087472864,244.13775458580395,OCO
11,243.24155869588702,240.7921613710438,ALO
12,210.46348233630476,214.48475373396303,OCO
13,138.97578371833802,134.1800048955989,ALO
14,141.81564898102198,140.90472570544776,ALO
15,173.3347488128,175.2241254468795,OCO
16,246.62130883809522,248.02058841292614,OCO
17,232.8877470104838,243.90467987554433,OCO
18,113.04922973318492,113.85878051636364,OCO
19,191.35019704491773,188.98278960430252,ALO
20,193.14985950355054,193.71736064190827,OCO
21,231.43220217433768,229.38526546609896,ALO
22,270.22312635296703,263.4409209022092,ALO
23,293.5956894541075,282.39010378,ALO
24,310.80242967183676,295.02474800223945,ALO
25,,300.0,OCO
