Minisector,RUS,OCO,Fastest
0,320.594918602698,319.8594200115942,RUS
1,329.05220159921834,330.42916673939396,OCO
2,330.5951317621531,329.2113636363636,RUS
3,196.4524607050539,202.47617620080962,OCO
4,113.460415869648,115.3133778387523,OCO
5,264.5453748557908,262.37175841975306,RUS
6,300.64271400228574,299.99497405577495,RUS
7,307.79655800579707,315.0286232115942,OCO
8,277.98878317948714,278.5316602853628,OCO
9,138.72569276937898,138.97340383657794,OCO
10,214.78331781180395,215.5992642917376,OCO
11,204.99288984550265,205.96567684757184,OCO
12,188.32605622882946,185.52563377911034,RUS
13,268.3108275692368,262.7961673533637,RUS
14,305.92616778418176,302.7740149734116,RUS
15,322.83931144347827,319.6538043826087,RUS
16,259.13856256234027,264.08605854013643,OCO
17,191.50997855559092,196.51380234637404,OCO
18,264.4813814763792,264.1948494524965,RUS
19,306.2284415536232,305.91525181527476,RUS
20,321.59594031613915,322.6162878060606,OCO
21,305.3348978222222,313.59601586086956,OCO
22,198.76136051131394,198.32358120390282,RUS
23,263.53749929876545,259.1794636952381,RUS
24,301.9590313202867,301.1884196335162,RUS
25,311.76666666666665,,RUS
