Minisector,SAI,ZHO,Fastest
0,290.6941358649639,285.41167114848486,SAI
1,301.85746073656867,294.44905525472063,SAI
2,307.16278256435953,298.34288356923076,SAI
3,303.6289411030913,292.619952416354,SAI
4,166.47145259367295,163.9084716259217,SAI
5,202.22805782568508,199.71592992397854,SAI
6,229.92610987123808,225.8042586614187,SAI
7,261.6085296409269,256.756945487756,SAI
8,252.08842870857143,246.27213239890932,SAI
9,159.10365081094983,158.67618790488478,SAI
10,222.4741809044888,224.08448190049492,ZHO
11,125.34803875649072,128.66082126915757,ZHO
12,225.90557089415358,224.7368764138879,SAI
13,178.2954629377064,175.75847820924346,SAI
14,210.83847006432023,210.0301774191544,SAI
15,235.81121355301585,233.91114363705628,SAI
16,257.8872881559906,256.20491931605795,SAI
17,285.0229916377554,279.19382719929456,SAI
18,149.38884318652498,148.50581071068783,SAI
19,163.76787539033833,162.18129451470165,SAI
20,137.33847565133487,143.9298439109357,ZHO
21,224.3689154806653,226.7646650857801,ZHO
22,258.0015396162097,251.99257262545453,SAI
23,246.2586290591085,237.291904218836,SAI
24,274.7749321507858,267.9725310571678,SAI
