Minisector,VER,RUS,Fastest
0,294.00734374269837,289.4760024571114,VER
1,167.79959670483439,171.20979461937327,RUS
2,174.16979486192753,167.9583613180004,VER
3,251.60227958719264,250.58475254450795,VER
4,288.42102711869654,285.035459334966,VER
5,256.4247121811582,253.11478751265597,VER
6,229.21719758955822,218.8254729735279,VER
7,156.54178295344346,153.56766297910937,VER
8,230.48528752965078,225.8138291707752,VER
9,281.34911973618347,281.83600077656564,RUS
10,299.9306413619295,299.0287370444828,VER
11,308.58545491897047,305.926904626147,VER
12,313.06969246031747,308.6113935890636,VER
13,314.220918214966,309.6470588235294,VER
14,138.54591192680476,135.93887892972722,VER
15,127.04667051154846,123.34165188762397,VER
16,102.46848640506535,104.02967245151335,RUS
17,234.40825399712614,232.44579576363526,VER
18,288.39047065475836,286.0829502825449,VER
19,307.9534475424339,305.9784549358841,VER
20,318.19992575914955,313.19047625968255,VER
21,323.6303921568628,316.6646270910924,VER
22,133.06608004609186,135.88815525966604,RUS
23,193.8820066320599,196.8943559285125,RUS
24,269.5308341056318,267.27647603410634,VER
25,283.9062496,280.08750080000004,VER
