Minisector,LEC,PER,Fastest
0,311.8859382341931,311.1361691155077,LEC
1,240.28609259371024,231.61163921579723,LEC
2,133.50974953908616,134.29714308705232,PER
3,225.38441222707985,217.37926878710147,LEC
4,267.79103108331174,263.2795640607121,LEC
5,291.65904592806777,290.2388497019537,LEC
6,306.2221090337144,304.44027797333337,LEC
7,290.00179976162383,278.20804649415174,LEC
8,173.39669719187702,172.28655924073922,LEC
9,240.6365614927671,241.5455655900873,PER
10,276.1907465753406,275.59314844249684,LEC
11,260.8148082106996,258.71126202798285,LEC
12,202.43673452449033,201.7104277700549,LEC
13,130.57750192680112,128.50338086941625,LEC
14,127.26257474296082,127.17333023424817,LEC
15,167.38334648246655,167.54694608952667,PER
16,124.67018828933045,128.2715175089108,PER
17,232.0606646764032,231.19474570938985,LEC
18,195.27424237540126,180.92749367291373,LEC
19,164.0464734686806,171.04330066248986,PER
20,251.88575590702854,250.34511191598853,LEC
21,281.0984176440257,278.8450197340419,LEC
22,295.94810497560746,296.4294271885017,PER
23,305.7714446318447,307.7808686079364,PER
24,309.5062497544626,312.9752778666667,PER
25,310.67083413333336,,LEC
