Minisector,VER,PER,Fastest
0,292.28835946711985,294.81929835789475,PER
1,219.3012492864044,220.46321794801125,PER
2,145.9853680328202,143.99266935880155,VER
3,222.96511197480046,222.67114910116405,VER
4,157.66980936290824,157.34173924200945,VER
5,177.11941665563842,171.30914590736032,VER
6,248.0849829418819,247.49787307597745,VER
7,272.4286350408847,270.9081251047619,VER
8,280.25066137566137,279.2763157894737,VER
9,260.3906762700188,263.41589216761906,PER
10,245.65877906369727,243.20963777300648,VER
11,247.45036229565218,243.34118373330597,VER
12,213.24865608554242,206.69445833284396,VER
13,141.21971191437785,137.98250257178518,VER
14,155.45404691180045,152.3382653164849,VER
15,183.92044320628048,186.1079650783968,PER
16,255.58730209523807,256.7302985732216,PER
17,242.95268648928527,234.046921317982,VER
18,117.51519616547901,118.13032677714206,PER
19,193.80450820906393,201.08570440259172,PER
20,198.33697534433904,194.76117070732562,VER
21,233.37246376811595,233.06331496083538,VER
22,263.0669125750036,264.5462799771429,PER
23,278.84916695963,280.71901295704623,PER
24,288.0244708994709,290.3668982518518,PER
25,291.0,,VER
