Minisector,RUS,BOT,Fastest
0,272.67529010766486,271.9114151786667,RUS
1,126.14737439396015,109.69588035089699,RUS
2,154.24439088696144,163.67837566164874,BOT
3,213.75161158767506,191.66802364775708,RUS
4,161.76925205918175,156.16322012772147,RUS
5,237.26009508398474,240.17402244261024,BOT
6,216.35754374407958,188.22577056841612,RUS
7,133.58999688338832,129.6805756825918,RUS
8,227.43218473052613,242.31340758036632,BOT
9,267.92465180921886,281.20831766552385,BOT
10,271.89872256962406,282.2022595453968,BOT
11,146.51573581280454,140.37754200555415,RUS
12,215.45655460193623,221.37538042828282,BOT
13,262.07068249200046,266.05478742290023,BOT
14,249.48224095999998,249.5312241136508,BOT
15,100.00053924350522,95.55094505204166,RUS
16,217.02567462466743,222.36168665044207,BOT
17,264.1532118632869,274.20086626939906,BOT
18,286.71536685950736,303.557250752,BOT
19,297.20960233965593,320.4664051646984,BOT
20,304.1276353502075,329.85601815836895,BOT
21,287.44720502235305,287.94598609428573,BOT
22,149.98030623806898,137.7432622274511,RUS
23,231.85918757239764,234.50606310398751,BOT
24,272.3194382596752,285.30492884210526,BOT
