Minisector,HAM,PER,Fastest
0,311.46117472499526,311.1361691155077,HAM
1,246.5178905499423,231.61163921579723,HAM
2,138.99628692426256,134.29714308705232,HAM
3,221.26588459543876,217.37926878710147,HAM
4,265.74032112147955,263.2795640607121,HAM
5,291.4477286433559,290.2388497019537,HAM
6,306.953692432017,304.44027797333337,HAM
7,290.26810876026207,283.15854940003624,HAM
8,172.39197811677494,171.87915183333183,HAM
9,242.53696326850556,239.96828731058295,HAM
10,276.4653672822204,275.1302202201529,HAM
11,275.3205220976898,259.989616658089,HAM
12,211.88191959493471,201.15181085051196,HAM
13,135.21227446657315,131.64091250891448,HAM
14,123.77259622301351,125.22850324001118,PER
15,167.80127360898624,170.0947143180981,PER
16,126.25315804590618,127.56953091144106,PER
17,234.81962690611712,229.14697823352574,HAM
18,192.07257551223805,188.71093904934773,HAM
19,160.85947241033924,167.04330066248986,PER
20,246.66228867809298,249.06379023619965,PER
21,277.9445606719974,278.8450197340419,PER
22,294.6777654976717,295.96972229884625,PER
23,306.30674619725994,307.4838107362962,PER
24,311.40034397877275,312.9752778666667,PER
25,312.3250002285714,,HAM
