Minisector,RUS,STR,Fastest
0,269.3410740093871,268.47393649284857,RUS
1,284.88514695314285,287.7305636097965,STR
2,283.33203643789034,295.8779144008556,STR
3,127.10073108098764,132.0718652238234,STR
4,197.9188673344298,190.1361980969095,RUS
5,254.76440704830338,254.9994392205752,STR
6,147.57867411214437,142.9594941042639,RUS
7,213.18614015717463,207.57108177353902,RUS
8,258.745935152422,257.0056449015873,RUS
9,279.05015273600003,280.50876999788363,STR
10,245.87460421869486,237.4804988121212,RUS
11,187.2373473266506,179.64185279376622,RUS
12,199.90607881273414,190.09163359242743,RUS
13,145.56553969546897,134.56845597870225,RUS
14,179.49374815543385,177.6511776052675,RUS
15,167.22328997555556,163.25352336420252,RUS
16,220.63598154295886,222.05726179362054,STR
17,239.24206813674186,238.0020217136455,RUS
18,245.6545987491996,245.56168709774437,RUS
19,236.24344257616164,220.28289687302012,RUS
20,149.2051734924843,144.63660809044546,RUS
21,136.96208900466854,129.32421260900594,RUS
22,167.74693317333333,176.26861297034014,STR
23,160.3357543872511,154.2818195430466,RUS
24,235.01628260266665,229.6818186115073,RUS
25,258.5833333333333,,RUS
