Minisector,HAM,RAI,Fastest
0,291.9083333818182,300.6454054046011,RAI
1,292.90905794782606,301.57537881212124,RAI
2,267.4339973973333,263.94765873258734,HAM
3,161.92291939206302,152.20499729042723,HAM
4,180.89919215140708,172.60165189794247,HAM
5,216.8813874350516,211.47457345242864,HAM
6,245.9981954551547,232.73892779013312,HAM
7,219.72554497393807,210.96357069405533,HAM
8,268.9870493626389,264.18374652450717,HAM
9,266.4811366854543,258.52796608243284,HAM
10,275.6572549714286,271.3328158013583,HAM
11,276.950901897898,274.6923609269841,HAM
12,273.1481189241905,270.48211831746033,HAM
13,273.95145020289857,260.25560589662365,HAM
14,190.47799165513368,172.01210117147176,HAM
15,236.11260868727933,235.73880762165976,HAM
16,218.35712337987314,212.41992375238095,HAM
17,172.23545729400155,166.78642051967304,HAM
18,255.68919845925925,254.84872334759768,HAM
19,283.6646035911306,283.4515902531043,HAM
20,264.86583055589347,259.2134177737143,HAM
21,193.23299132281267,184.704268461605,HAM
22,252.742699643081,255.483916,RAI
23,277.9505066414871,283.6261694933098,RAI
24,289.16371524444446,295.5695344761905,RAI
25,,300.0,RAI
