Minisector,VER,PER,Fastest
0,290.65655696891406,283.4921674479214,VER
1,152.8262709780882,147.6112854934123,VER
2,145.69908944486187,146.8052909965715,PER
3,222.20340254866412,223.58373688474202,PER
4,284.56543081588933,283.71843692022264,VER
5,290.8691371466133,287.86921784470275,VER
6,139.683844470691,141.2771516390573,PER
7,139.5011044383045,146.82722834118385,PER
8,140.31170779716078,143.80743138614156,PER
9,184.44719994682757,187.91544350761887,PER
10,125.70033499083848,133.2751746707175,PER
11,119.94640462825227,123.93499701116195,PER
12,165.06338934378786,159.84375406345796,VER
13,267.14419325985386,266.13372042045586,VER
14,289.67635120380953,291.0661976911977,PER
15,152.03823229490717,154.19052803738853,PER
16,205.31495545279031,207.8407175309524,PER
17,172.7003700972978,170.0044225162194,VER
18,272.47823107291947,269.2590316387925,VER
19,296.09618929291923,293.6064484126984,VER
20,311.4244211920131,309.1703903013756,VER
21,319.2925917233812,316.80618112984655,VER
22,321.6877273134545,320.49346405228755,VER
23,322.81648246729446,323.0014204848485,PER
24,323.84659089454544,320.64180672268907,VER
25,324.21500032,316.02999936,VER
