Minisector,ANT,PIA,Fastest
0,245.96909773965606,251.17189466893672,PIA
1,132.2821484973772,138.10855728810049,PIA
2,278.12433831316946,282.7318342584303,PIA
3,314.8513424656448,313.8910914289216,ANT
4,297.4276648575691,298.9078713846154,PIA
5,319.3621462208482,321.6913776677002,PIA
6,319.62025028739316,324.19643067636366,PIA
7,314.14857498239996,318.5317316806324,PIA
8,195.75096566583304,184.83996862776334,ANT
9,193.47326002987256,193.1643705227165,ANT
10,178.9269962295439,167.91604886484805,ANT
11,176.79657737853003,173.70566283344982,ANT
12,244.84899266281096,248.61242069049229,PIA
13,263.6548119402181,262.9305304049847,ANT
14,256.5713317748515,263.0908388247931,PIA
15,247.32755353381467,243.54492696873496,ANT
16,173.74861577895916,173.96662040034633,PIA
17,188.14180383740674,187.00037120525954,ANT
18,252.00969018448978,250.86623283713843,ANT
19,303.06251678191256,297.63062437176256,ANT
20,325.3612609328655,316.02491217646826,ANT
21,314.1652469814816,292.52236019639923,ANT
22,290.7797749824339,277.6344276114286,ANT
23,250.87342767496747,227.25310051442713,ANT
24,117.79052211171897,120.57480279711804,PIA
25,220.4,,ANT
