Minisector,NOR,HUL,Fastest
0,322.22814069943473,309.09458876453203,NOR
1,319.4497992072804,303.61039950145755,NOR
2,169.95047516814947,161.16357766749744,NOR
3,163.74573246476191,156.67744327112345,NOR
4,200.48259446194243,197.54646215555113,NOR
5,150.32876751324682,145.86017653355455,NOR
6,207.16824905627982,201.1259488094424,NOR
7,272.6069833743916,270.8675112241276,NOR
8,293.0217024795592,284.5924480654195,NOR
9,288.96514733803923,274.63611844033613,NOR
10,240.00432407685884,231.34364955937957,NOR
11,241.10552996692786,235.44820719576717,NOR
12,220.42458668654245,220.650154374026,HUL
13,174.7665390971492,175.98564804438587,HUL
14,142.02820744701768,135.25632424458323,NOR
15,133.70627446133105,128.24125910120893,NOR
16,207.14592621714286,189.28408421303928,NOR
17,272.17052913015874,268.5117711130864,NOR
18,200.98616366506667,193.9262652372771,NOR
19,114.38360308569008,115.06668554897547,HUL
20,212.3542848914286,209.08832180270568,NOR
21,189.05060596236558,178.9688291657143,NOR
22,252.6782899321905,245.94354659186882,NOR
23,276.3172021285714,279.23692231564627,HUL
24,303.0339587131345,304.954321292549,HUL
25,313.0,,NOR
