Minisector,BOT,OCO,Fastest
0,305.5235414933333,303.43880928761905,BOT
1,309.7713815578947,303.7933866751323,BOT
2,310.109649122807,296.444647469407,BOT
3,226.341691136,225.06250141866664,BOT
4,229.50927383199198,221.88109376201135,BOT
5,121.1557552779002,117.7037523166326,BOT
6,231.46180436825398,221.9309293805259,BOT
7,270.2528352176595,262.49927462028984,BOT
8,218.98170552098765,215.64967206165213,BOT
9,122.93926200802584,119.72315808302183,BOT
10,243.86076080152378,237.5830904772847,BOT
11,255.1627735396206,251.64275443809524,BOT
12,135.86567530158732,135.84881818785541,BOT
13,226.29804617922537,221.2229675520501,BOT
14,270.90583296,264.8660696029227,BOT
15,228.58498723315455,221.25533864409172,BOT
16,171.84278108465926,169.7942721589004,BOT
17,247.05632299880392,239.84486667439614,BOT
18,122.51542347407407,125.22443397138892,OCO
19,143.3896830837886,148.42920971853903,OCO
20,209.03582438249865,202.60507770884354,BOT
21,263.8333325575758,255.12776606605814,BOT
22,280.94186493968255,272.02182496507936,BOT
23,289.5739526491018,283.62036635695443,BOT
24,298.69824532210527,293.515459189891,BOT
