Minisector,OCO,NOR,Fastest
0,304.94473678596495,305.92914760083937,NOR
1,235.00027117807852,232.20240702939958,OCO
2,131.16758879619047,130.54769835632527,OCO
3,213.85391949039018,217.417833216,NOR
4,260.3497908419048,264.78578947368425,NOR
5,285.2675922962963,288.94473678596495,NOR
6,299.8371845541262,302.56960784313725,NOR
7,280.4087748491228,280.68850000000003,NOR
8,171.0038490262006,170.88892091674347,OCO
9,236.19764405797102,238.05118464663664,NOR
10,269.92434167017547,273.4891666666667,NOR
11,259.8015310940472,263.98833333333334,NOR
12,198.89797178694886,202.18006799417904,NOR
13,123.71849737284607,126.93383194507199,NOR
14,118.81661972239596,118.30809793810882,OCO
15,159.2833884906205,169.69275815895173,NOR
16,118.14259503128,113.85648673460558,OCO
17,222.938499328,222.32666263772305,OCO
18,176.92417660886557,187.20003062364037,NOR
19,159.0513633378593,156.76050578354761,OCO
20,243.44657091150358,245.82857142857142,NOR
21,272.59166618947364,276.3888369412154,NOR
22,288.32039215448026,293.32916665263156,NOR
23,298.1990194823529,302.8460784313725,NOR
24,302.8366227087719,305.7529411764706,NOR
25,,306.08333333333337,NOR
