Minisector,HAM,STR,Fastest
0,297.54730081212125,302.6732308126154,STR
1,150.6675177068071,151.93480865320893,STR
2,165.26209413083652,168.48455955096654,STR
3,245.3799650727619,240.8798325418549,HAM
4,282.65137436398265,282.7375921138278,STR
5,245.34674925804927,229.64785014386146,HAM
6,218.33269116838088,203.58619357295942,HAM
7,152.01368774392608,148.12191930471522,HAM
8,228.70067434121106,224.6163266634339,HAM
9,280.65960747953494,281.3639450901264,STR
10,296.7998840250677,302.6378186593464,STR
11,305.8264916566899,321.37485265112304,STR
12,310.83885212514286,332.44038622327986,STR
13,303.1953909617778,322.7003269965059,STR
14,124.47551966575821,127.35669181949255,STR
15,119.81074291045803,113.63505049154145,HAM
16,96.95526268077057,98.70851545057049,STR
17,234.0936464617065,234.45352659967324,STR
18,286.3928883765427,286.89476016737717,STR
19,304.7210994694737,317.8482135495238,STR
20,313.8418416560224,334.9722998170105,STR
21,313.8321468903908,334.40710959477127,STR
22,127.62483763765312,115.6174012271874,HAM
23,198.5489690052246,202.06519478999365,STR
24,268.1252696151153,271.3286797846791,STR
