Minisector,ALB,VET,Fastest
0,323.4057957533835,303.08879134986194,ALB
1,330.854414340457,305.45535524436804,ALB
2,273.2210144927536,263.8313911552057,ALB
3,160.776511325209,150.8025054215179,ALB
4,165.7093842334517,165.59179130453606,ALB
5,215.1506944,210.61964495320552,ALB
6,227.70769565480464,237.05232342073728,VET
7,214.83333333333334,210.7649139421658,ALB
8,262.4442746243912,260.01556005330093,ALB
9,257.03312629399585,258.7319525912381,VET
10,273.58779761904765,274.89571398704766,VET
11,270.6834553628359,278.1988992788926,VET
12,262.93416666666667,277.8004478556519,VET
13,260.6371747631727,267.74825563532954,VET
14,175.6642857142857,169.44722460698372,ALB
15,236.49413142956053,235.95085492857717,ALB
16,210.4437602627258,206.89412846605762,ALB
17,177.87131599485198,165.8113268643008,ALB
18,258.2708333333333,255.19799931123808,ALB
19,285.6422905660826,283.69074751128875,ALB
20,251.4352380952381,250.69972351106355,ALB
21,190.72845751576148,186.75708976724596,ALB
22,257.68831168831167,256.4367851093333,ALB
23,283.65063085116816,284.8250221273842,VET
24,296.3712121212121,298.6969203478261,VET
