Minisector,OCO,ALO,Fastest
0,304.94473678596495,308.0060185481482,ALO
1,235.00027117807852,228.38077235996096,OCO
2,131.16758879619047,130.66613037392537,OCO
3,213.85391949039018,212.47858216589262,OCO
4,260.3497908419048,258.7018711292517,OCO
5,285.2675922962963,286.94500876235054,ALO
6,299.8371845541262,302.8635267427346,ALO
7,280.4087748491228,276.1066654933333,OCO
8,171.0038490262006,170.91785912089355,OCO
9,236.19764405797102,237.45108271515153,ALO
10,269.92434167017547,271.19520837333334,ALO
11,259.8015310940472,260.31020507596037,ALO
12,198.89797178694886,200.6830125128205,ALO
13,123.71849737284607,125.3830815552521,ALO
14,118.81661972239596,119.95485274074025,ALO
15,159.2833884906205,160.20669194343432,ALO
16,118.14259503128,123.74168969628053,ALO
17,222.938499328,219.64420289855073,OCO
18,176.92417660886557,183.15086116888912,ALO
19,159.0513633378593,160.1819312821737,ALO
20,243.44657091150358,241.5234944780563,OCO
21,272.59166618947364,272.0113691733333,OCO
22,288.32039215448026,293.72146159576715,ALO
23,298.1990194823529,313.1357376912414,ALO
24,302.8366227087719,325.50997033333334,ALO
25,,330.0,ALO
