Minisector,LEC,RUS,Fastest
0,252.1915607127006,251.31156693565808,LEC
1,223.14300846522283,218.2837950171051,LEC
2,205.85257287390598,203.64632802930674,LEC
3,259.71228558130366,259.7575886061598,RUS
4,275.52915802769627,272.16580223207524,LEC
5,288.8875160418104,291.28150389759406,RUS
6,166.77250925963483,155.2895251272777,LEC
7,182.95737493084158,175.74085309739124,LEC
8,268.45979086012807,269.38664577386743,RUS
9,295.2109163503651,298.70094245300214,RUS
10,306.74138901333333,309.73245517493564,RUS
11,307.2426286298272,313.8373558817172,RUS
12,110.67169867022274,115.03316435154446,RUS
13,189.4166307267625,182.89926326132866,LEC
14,266.86867738487564,268.6491740053092,RUS
15,293.3693158157761,295.8015428021152,RUS
16,298.20980022088094,302.81838587372135,RUS
17,194.20587834312963,186.68144165163602,LEC
18,218.6293906675413,208.47699223298608,LEC
19,268.224538182861,262.9499171692067,LEC
20,156.33472510206363,160.74337768107463,RUS
21,149.5756103638662,137.82861725205234,LEC
22,217.88976959619288,206.66510499556873,LEC
23,240.09740788914198,234.2667861957909,LEC
24,161.14992080781548,158.78117879747288,LEC
25,225.28571062857142,222.23750080000002,LEC
