Minisector,HAM,VER,Fastest
0,285.8466508243266,283.4477460723824,HAM
1,253.89136411225485,256.82925114173327,VER
2,269.81100076286384,271.02640222399566,VER
3,278.7740648235433,285.7578431372549,VER
4,138.1995312408636,139.67639419753544,VER
5,211.9516835856176,209.51515844143066,HAM
6,266.56611062332314,263.815685731926,HAM
7,285.276731490437,284.9750179998168,HAM
8,294.3536457111111,293.2920094490326,HAM
9,299.2263020666667,296.62379504422665,HAM
10,287.0921545512954,285.21180740740743,HAM
11,105.99688812471163,102.9838868068261,HAM
12,223.45570279458127,220.47663188475536,HAM
13,272.67527623609317,270.90736906813817,HAM
14,278.62773530817714,274.92056920108564,HAM
15,140.6801993035163,134.9038486317045,HAM
16,213.6488580192689,214.4778552869872,VER
17,260.5740571079148,260.94356272514585,VER
18,265.40900009170963,263.3651884626167,HAM
19,250.58337464665806,253.52459603951033,VER
20,158.02206531160647,150.3863140325332,HAM
21,196.79618052377023,197.20416766917384,VER
22,183.69722418347752,183.9825837979806,VER
23,196.65033716629858,199.40009405825546,VER
24,255.0273729693259,254.09419637333335,HAM
25,274.31840806158266,,HAM
