Minisector,LEC,RUS,Fastest
0,281.16509490784756,277.6647278830702,LEC
1,140.9995821873924,146.70535383519282,RUS
2,218.09368299109232,215.4423777685108,LEC
3,284.83063833925235,282.9219366483522,LEC
4,320.9527356735352,311.4148555766676,LEC
5,307.28530653998047,293.5574161924633,LEC
6,149.15110610492636,151.5525163239762,RUS
7,237.45472132155626,249.48643082181394,RUS
8,108.35926835580719,113.42099419087226,RUS
9,172.0599299017348,159.97185943109173,LEC
10,280.8129018685278,274.9262640933771,LEC
11,302.03925061776664,296.04959454942957,LEC
12,210.96826513572393,204.29063355178351,LEC
13,175.074268743971,163.2013336139055,LEC
14,281.7168758717616,270.8794916243565,LEC
15,313.77793449858586,313.0684573126192,LEC
16,326.2399648386755,324.273250112,LEC
17,335.29543187704695,334.0323582898549,LEC
18,345.79902214659035,332.13805068761906,LEC
19,351.80381268600956,327.8023810031746,LEC
20,197.1143704343999,193.55760200926872,LEC
21,158.185010225235,166.01663121780697,RUS
22,276.7993358743928,278.4928637403347,RUS
23,310.46114530211514,315.39636194106146,RUS
24,319.3692495455704,322.46812692264933,RUS
