Minisector,HAM,GAS,Fastest
0,311.17453416784315,305.0530524957464,HAM
1,201.2252361876015,222.08129272439527,GAS
2,147.55813673703608,149.84904262791767,GAS
3,223.91637626262627,221.1659025113997,HAM
4,164.6572797373906,168.83232020066973,GAS
5,186.45497270845095,170.10974429810642,HAM
6,254.2132454496203,252.29844091885715,HAM
7,282.4458911259259,277.790427145061,HAM
8,290.25896103896105,284.87655681699414,HAM
9,265.0612346682883,255.54464862048454,HAM
10,239.4850599038434,244.833515713744,GAS
11,241.002646,238.93765199595313,HAM
12,199.04950056707602,203.46036486855428,GAS
13,128.78883433252787,124.21349300380211,HAM
14,133.05829674978452,135.66452532086677,GAS
15,173.3283304160543,173.61728789954992,GAS
16,249.61032142857144,247.36426370526317,HAM
17,239.8931074146584,242.05569531987302,GAS
18,114.84823607044481,115.18005334984167,GAS
19,198.5730649310216,189.21030223628287,HAM
20,205.80820964060095,199.39722179474288,HAM
21,239.99448194675793,225.84987634145412,HAM
22,269.16354745825873,262.00324024747647,HAM
23,287.02199400761907,281.9769914872829,HAM
24,303.02716656465407,297.1603082376921,HAM
25,,302.25374944,GAS
