Minisector,VER,RIC,Fastest
0,278.9673821491108,276.6589381608533,VER
1,295.6685099804359,290.4357258051537,VER
2,242.5073499841895,225.8717835568915,VER
3,120.17706297777612,114.86177465198404,VER
4,138.74124805706253,140.82828379322356,RIC
5,251.7225636751198,248.9738320537093,VER
6,261.9516630259138,239.65510273886812,VER
7,129.10935983868254,126.83045379052803,VER
8,246.07889341033786,245.65826907117426,VER
9,264.7351311288479,243.85087580918074,VER
10,215.03406140773552,203.46341167466406,VER
11,148.79815834129315,140.40112147084545,VER
12,211.55497560591417,213.16938842288613,RIC
13,261.55659634780824,250.32577478757764,VER
14,119.77091471459131,113.92648974072934,VER
15,196.4873998490067,195.926354235819,VER
16,256.8804029799129,256.6815553640089,VER
17,284.8476885615993,284.91618342738826,RIC
18,295.31754498890996,295.0147183126223,VER
19,299.8552083733333,297.4396151526844,VER
20,302.35437514666665,296.7110415466667,VER
21,164.3136576089771,134.29240612112966,VER
22,151.10614483538066,176.86234247871909,RIC
23,201.53634965185958,189.5952073499956,VER
24,235.7447944744515,238.62369294703905,RIC
25,266.8500032,,VER
