Minisector,PER,STR,Fastest
0,248.41114573019132,244.19843092994748,PER
1,214.49268704131686,206.69857179428573,PER
2,195.15330142037396,201.410870133398,STR
3,252.3961282733073,254.28635418417502,STR
4,269.2830848736508,270.36901152506124,STR
5,288.33719580444443,277.2129058666667,PER
6,175.78163600093353,165.65479233805996,PER
7,172.20979807922566,171.5518095866602,PER
8,265.32554233627707,262.0277201477887,PER
9,291.49808682601207,288.40406277253106,PER
10,303.9379887934694,297.34081652979717,PER
11,304.9792849907056,293.3804174419696,PER
12,114.23014304253968,119.76954754806415,STR
13,182.19845702737504,176.6669650404233,PER
14,268.49236391102465,260.7421257309884,PER
15,294.8359893768575,289.11900767505256,PER
16,301.3876867121344,293.3082954410558,PER
17,184.85998506119142,185.65190499809523,STR
18,217.9152854626176,207.37788570736012,PER
19,262.5529462466032,259.3749569121693,PER
20,156.87139854686475,162.21064309909784,STR
21,139.70127910290398,135.96176321879366,PER
22,215.78078314113378,206.33329488028008,PER
23,236.9507211823666,235.12153580473174,PER
24,149.41032703293843,146.27570505258598,PER
25,220.89999786666667,217.0,PER
