Minisector,PIA,ALB,Fastest
0,255.3130430167693,260.76704837602466,ALB
1,140.12331857822718,135.56710515289137,PIA
2,204.53212554149894,198.46514295636365,PIA
3,249.21795169581472,247.2528774181627,PIA
4,249.86677213333334,256.6985515773968,ALB
5,180.6058698037262,176.24654238014432,PIA
6,149.11971515560634,150.10562878343163,ALB
7,190.6697977447619,184.49304004419048,PIA
8,104.27230839363129,103.01185977509768,PIA
9,72.81734494027859,69.97177422139681,PIA
10,99.21908346686897,96.7666279336777,PIA
11,190.84586676584794,186.91171927945578,PIA
12,249.4444502584127,247.8823892622222,PIA
13,271.38461763662986,270.64076342160905,PIA
14,282.15311247329765,282.50875022908684,ALB
15,116.09885726945542,119.4434467998021,ALB
16,154.7394850479587,167.01716222043657,ALB
17,195.02603336126984,184.76394738526315,PIA
18,200.14270440435237,202.6204851129568,ALB
19,213.73487738057145,209.15934479625975,PIA
20,141.47823814978779,141.12260024347827,PIA
21,114.42442424533444,108.87950927830688,PIA
22,97.97714051295762,103.76763868292335,ALB
23,198.09813879945577,205.68217554848485,ALB
24,257.8868352027788,249.1537016784314,PIA
