Minisector,VER,GRO,Fastest
0,290.9370106352941,291.19309677876,GRO
1,293.4323521882353,298.15000064000003,GRO
2,173.87870222615294,161.53054235704653,VER
3,228.36622220190475,221.95208325333334,VER
4,275.38406958431375,271.51666714074076,VER
5,294.12924655746036,294.0156248,VER
6,297.66582612436974,303.1333331911111,GRO
7,169.09627478095237,174.21812648315048,GRO
8,137.60838973185201,131.55784040489795,VER
9,251.01984292063491,249.5779338495699,VER
10,282.87447550028014,284.11718766666667,GRO
11,288.5775490342071,296.5588230901961,GRO
12,151.7225776344086,148.62403705855587,VER
13,202.45540715636525,195.11314157170887,VER
14,258.0888894222222,257.4265969466669,VER
15,206.40964882696423,196.99991295555557,VER
16,223.4722409974026,218.9768949818182,VER
17,212.13868952380952,208.85102794805195,VER
18,247.2580921641166,240.86937905608465,VER
19,277.3397065411765,271.9635877764506,VER
20,289.93538199347773,289.1252778666667,VER
21,255.77148088742499,250.73282768093299,VER
22,230.18624896,216.2950394920635,VER
23,213.62438878874698,198.85572995555557,VER
24,267.7407149405647,262.6550936296296,VER
25,,281.05,GRO
