Minisector,VET,OCO,Fastest
0,285.40509549559346,273.82252258250116,VET
1,304.2627110696869,294.725626710492,VET
2,299.81416741797705,286.9519178835979,VET
3,172.00605653461201,170.80047748551712,VET
4,116.10401491337133,114.01979299140929,VET
5,244.38524644721525,235.68430816774514,VET
6,300.19752678047155,282.12078451630055,VET
7,321.07299709572305,291.21306763636363,VET
8,160.1484387245068,165.03310051379492,OCO
9,142.33645096086468,133.75497465490588,VET
10,251.9361761337389,248.94660372348335,VET
11,287.2139697592842,285.61686910020046,VET
12,296.22773304242423,292.02129670877355,VET
13,276.59713897490155,268.2049595125599,VET
14,297.8377410593424,295.5552469564272,VET
15,294.54726131362855,300.9119853515021,OCO
16,248.8256373126376,239.0335116318788,VET
17,221.95523115754963,212.73515578166777,VET
18,279.2284940919358,275.5794236182942,VET
19,301.66002723301193,303.0549123568451,OCO
20,308.36853837936206,307.69276791033394,VET
21,227.8447056087309,214.79239894471678,VET
22,258.76500848963235,248.18198681672783,VET
23,143.49499787992062,134.98399832491745,VET
24,213.32179020968215,200.91014622401397,VET
25,254.95000106666666,252.79999999999998,VET
