Minisector,SAI,RUS,Fastest
0,253.32794929953602,252.93487339094725,SAI
1,209.57329145334444,212.15093334739927,RUS
2,206.18897836011115,205.63738735912833,SAI
3,256.2089444947908,260.0457550709179,RUS
4,272.2947852909926,275.8118430893092,RUS
5,292.2242902421094,292.73560493118674,RUS
6,168.63826579742496,146.95157121488288,SAI
7,184.78419678756114,178.1208612138913,SAI
8,268.6782728,268.0638149209626,SAI
9,297.2232691404147,295.797879546454,SAI
10,308.33311926245426,309.45787561634927,RUS
11,313.67174259745366,309.34871464727627,SAI
12,110.81633314135873,105.28252022848878,SAI
13,196.99474288298978,186.44698372519892,SAI
14,272.57147942647345,268.04597237518965,SAI
15,296.68717434180707,294.4339479954286,SAI
16,302.7685755507181,299.6423628949747,SAI
17,187.52025930446842,186.4111060566174,SAI
18,220.46330744396937,214.1519032076984,SAI
19,272.27754494439074,270.3885413311295,SAI
20,149.74897415623823,146.51004991097827,SAI
21,146.86190812653302,143.20687206047,SAI
22,226.6684225184051,218.7192835711111,SAI
23,233.94158558118787,252.1260934058575,RUS
24,156.77025251576148,168.44141092467217,RUS
25,,222.57999886628573,RUS
