Minisector,NOR,LEC,Fastest
0,297.28733837627175,299.6785267502607,LEC
1,208.33898080235372,191.4673744987434,NOR
2,225.57044052249216,218.3372641270405,NOR
3,275.7038947614446,273.28464599801055,NOR
4,246.9546750818481,236.55129690749007,NOR
5,132.3168810970244,123.85660581739937,NOR
6,209.78813641446874,200.16186098688328,NOR
7,244.70309500283705,247.17136313937817,LEC
8,239.01352247412495,224.6693765356395,NOR
9,232.35749130676643,230.12899788877988,NOR
10,274.4099970025198,276.46314687844495,LEC
11,289.2066307832125,294.53708535623286,LEC
12,293.46846754156434,299.6322901741013,LEC
13,295.3835993563407,302.1885607127273,LEC
14,295.5775414105806,303.9789114741703,LEC
15,249.21648277525335,235.58105246773096,NOR
16,239.5018793722142,224.5825942054327,NOR
17,277.8640346751868,272.3564989144616,NOR
18,289.3487023809524,289.21784513275907,NOR
19,157.7630143597912,132.97594698960293,NOR
20,212.1331632852725,188.971088384746,NOR
21,174.3545405490031,144.8860006568706,NOR
22,146.5395428359409,140.99581237898315,NOR
23,245.47693788937752,246.9457834810866,LEC
24,284.28237131221374,298.4187578058981,LEC
