Minisector,MAG,SAI,Fastest
0,281.9173811657143,306.66245073693267,SAI
1,290.57382574298776,324.2275000177778,SAI
2,293.38445382633057,334.3509523809524,SAI
3,292.2379902117647,321.5255204,SAI
4,179.5689500743776,165.44688005648604,MAG
5,214.89254669648034,213.9254411541973,MAG
6,246.183875168,241.9797915504762,MAG
7,265.7535715689223,268.19398157037034,SAI
8,265.2649129543859,256.8739033267093,MAG
9,169.17517504435398,164.27069918279568,MAG
10,231.64124284081632,228.9639209939394,MAG
11,139.27182407162925,133.17289767716568,MAG
12,222.2769317106188,227.90411229530136,SAI
13,200.30401189135804,186.45406701584344,MAG
14,218.26936428148238,221.2960880142565,SAI
15,252.58806540190477,246.50735236667342,MAG
16,262.76568235216814,263.9897919542857,SAI
17,279.97661997037034,285.36767160685207,SAI
18,134.28451292571364,126.33379504917494,MAG
19,162.92755257019968,163.33624134184817,SAI
20,147.28326776708334,149.9281575168901,SAI
21,173.24805451047203,160.4472351262673,MAG
22,117.53551697777777,119.48596912617421,SAI
23,218.90687417850668,233.66649572852705,SAI
24,263.8803830763648,271.613970572549,SAI
25,276.15,,MAG
