Minisector,BOT,MAG,Fastest
0,273.5326657040866,271.01669932308187,BOT
1,293.8111174343947,288.9573803553713,BOT
2,301.9672615372541,294.17343773333334,BOT
3,128.27495768674734,133.74195669218184,MAG
4,190.98346329011926,191.97409363273314,MAG
5,257.5018763857798,255.93943455197032,BOT
6,139.74321525199025,144.2407249201559,MAG
7,201.2660099011084,199.99707194494493,BOT
8,260.17454429822294,256.98561455901415,BOT
9,281.64108699440396,280.456117585045,BOT
10,222.51224401731858,239.97602913162058,MAG
11,175.00527887302644,186.21110591484208,MAG
12,184.5013606650815,182.1353877803144,BOT
13,143.8552159682135,150.9763264488666,MAG
14,176.92309226360874,170.0671025690164,BOT
15,158.79249933077026,155.14518412139716,BOT
16,214.52450709575098,207.73984905237657,BOT
17,234.59076679792187,242.82684796603235,MAG
18,238.63084571268965,231.9492496311516,BOT
19,237.86715812550642,251.28174296611843,MAG
20,143.2400505400433,141.3034925238683,BOT
21,132.5608153774448,141.3122524164028,MAG
22,164.41362726667208,158.7835680384745,BOT
23,147.18754268587853,146.49921271317757,BOT
24,226.7008974750275,222.62651822856722,BOT
25,256.25,255.93333333333334,BOT
