Minisector,HAM,RIC,Fastest
0,306.55516672,303.2053769208089,HAM
1,244.72568286664665,230.4373777882353,HAM
2,135.92056517371387,131.38634314799745,HAM
3,239.09734003333332,235.56065725001514,HAM
4,191.5466026073486,189.56541629333333,HAM
5,242.11861986666668,237.7938548931884,HAM
6,228.5845399313202,221.6755079947358,HAM
7,258.49302015844535,254.11570751440178,HAM
8,288.05969179234694,283.8197188544788,HAM
9,218.3721824152341,201.08114608,HAM
10,208.16594660250627,202.915436809198,HAM
11,272.3344125177027,271.16047252127817,HAM
12,219.6377375085714,203.04754258866348,HAM
13,250.21031565460203,252.96724740028336,RIC
14,292.6909800439561,293.99093386656256,RIC
15,307.8405449846154,306.5177884307692,HAM
16,306.10966660266666,303.22028376061576,HAM
17,238.87768602428605,227.80631304321307,HAM
18,270.2083335727891,272.8397324106946,RIC
19,300.14591555076,300.4820475550476,RIC
20,308.13480951466664,302.96618584615385,HAM
21,299.37506847949874,296.44086555897434,HAM
22,160.58745903726702,148.81647984369474,HAM
23,238.43445019506885,241.73355373820095,RIC
24,290.2615415473711,291.3967379423726,RIC
25,302.4,,HAM
