Minisector,PER,ALO,Fastest
0,278.2479857747879,278.4089696651082,ALO
1,296.63614743088027,298.17605335893586,ALO
2,233.47430831758288,235.7860184911464,ALO
3,109.04536906913991,112.29198912767171,ALO
4,127.47064641922469,128.53987000202898,ALO
5,246.82786069760002,247.4652863031,ALO
6,241.55825534110923,244.61043934978,ALO
7,118.77636863966318,120.08529201819965,ALO
8,247.63331550234815,247.5861949786362,PER
9,256.9170765701587,262.5678073523634,ALO
10,203.99820452689357,208.3046383647993,ALO
11,138.0184475191064,141.41654824164513,ALO
12,199.77692013110212,206.30311206856612,ALO
13,260.33386750720246,249.2259269908364,PER
14,109.80053691327593,109.70480638964709,PER
15,183.24941481820787,193.0345829785289,ALO
16,252.1863807728538,259.15420709700174,ALO
17,286.9038509152183,294.1791864499494,ALO
18,301.3877822326251,313.0911155665163,ALO
19,319.1590067861295,325.1471844708198,ALO
20,328.80034740285714,331.31344254391536,ALO
21,162.99297351889453,159.35881390227382,PER
22,140.85803632196001,150.8058384287488,ALO
23,191.7420909709371,193.19300391941198,ALO
24,237.12999436300632,233.7559363235165,PER
