Minisector,PIA,RUS,Fastest
0,293.14651088221575,293.50661801978134,RUS
1,304.0032352685939,305.444129224,RUS
2,307.84989511350136,309.09251789409734,RUS
3,187.21917168241347,190.51937647084213,RUS
4,210.29955680737325,211.31597502338695,RUS
5,206.29371939309598,204.781719801402,PIA
6,263.4265671771518,266.2515069052181,RUS
7,257.8325580939122,261.9057687863781,RUS
8,214.39116911458973,218.63303924085045,RUS
9,211.90685509977828,203.80200689586394,PIA
10,142.091069071722,140.69635441796098,PIA
11,203.67793685933808,194.7475293347734,PIA
12,197.02253884834656,186.43890886153847,PIA
13,252.75282963555557,256.3023927877983,RUS
14,182.8349826847129,171.2394781081489,PIA
15,231.93043520693567,237.95354861904522,RUS
16,281.52753779389326,282.3960672577942,RUS
17,290.1623748407326,292.7928125674208,RUS
18,284.6308645488293,286.9017831029451,RUS
19,271.053720520381,265.16472951153645,PIA
20,271.93724757735635,265.0649057294123,PIA
21,265.95093818512834,267.58457311072465,RUS
22,235.42306064375984,224.6313844823015,PIA
23,206.72607466839617,209.56698440528424,RUS
24,269.36683421164577,272.7139769890909,RUS
