Minisector,VER,GRO,Fastest
0,283.4477460723824,288.6389498408931,GRO
1,256.82925114173327,243.01175212765827,VER
2,271.02640222399566,271.18021843671767,GRO
3,285.7578431372549,291.29398325692694,GRO
4,139.67639419753544,126.28526380385998,VER
5,209.51515844143066,211.17885536939448,GRO
6,263.815685731926,273.6902814741148,GRO
7,284.9750179998168,300.49999411923534,GRO
8,293.08243323999,314.02135956576814,GRO
9,296.4398866083541,322.30952256969874,GRO
10,288.8713254901961,300.3278890502526,GRO
11,105.48422249835056,103.54712471592762,VER
12,220.47663188475536,222.21313596329102,GRO
13,270.3466673497014,273.122427462549,GRO
14,275.24053924313375,272.23822715976206,VER
15,134.9038486317045,133.4159787772541,VER
16,214.4778552869872,208.29359344205935,VER
17,260.24212744401314,258.7470120228923,VER
18,263.9391697575667,254.6576335591139,VER
19,252.90727317480827,244.55442349251757,VER
20,153.76476745713072,150.66273758752743,VER
21,197.20416766917384,193.28111919311837,VER
22,183.99356419419817,171.59915418005335,VER
23,198.79613249818115,189.02216722516008,VER
24,253.058552477193,252.83773388138846,VER
25,273.7714304,,VER
