Minisector,SAI,VER,Fastest
0,298.4514446443427,298.85274971225397,VER
1,137.3396480878192,135.20487962178925,SAI
2,213.41987154449973,211.78658119961884,SAI
3,274.70484036548845,278.28910823573375,VER
4,313.7349612612136,319.9129483579494,VER
5,316.4818749061623,315.87517436121215,SAI
6,154.33493009958127,145.60912568262364,SAI
7,241.8461596442392,240.87030987701425,SAI
8,113.46732239274317,112.41668605429781,SAI
9,146.3768002855241,151.1749762851282,VER
10,272.3902227068787,273.3609727146667,VER
11,292.8347851954424,298.4454001108067,VER
12,263.3036500617143,255.11050812952382,SAI
13,154.10487680447469,152.57041251121677,SAI
14,270.2149197963529,270.8643307823279,VER
15,306.58846096739035,308.4740463737198,VER
16,323.52203950504276,323.2121877029787,SAI
17,330.3878473777778,334.89565239033817,VER
18,336.0678620087359,344.187860009697,VER
19,334.7880950857143,349.18564341778034,VER
20,241.0841572164957,230.1370864978932,SAI
21,146.97915847610676,145.07378349996426,SAI
22,276.2911855930253,273.17824968023086,SAI
23,311.07266704,310.90158773115644,SAI
24,326.1527415664645,325.88246929626723,SAI
25,,324.6583338666667,VER
