Minisector,VER,PER,Fastest
0,247.90206491257084,243.83464134133908,VER
1,280.8165631006211,276.35126775652174,VER
2,193.11311157849673,189.4589672008931,VER
3,152.31039570001292,151.50888887071469,VER
4,258.8199071604938,257.77344579009815,VER
5,268.4036856485696,269.099613030607,PER
6,223.77763914666667,219.26463602868176,VER
7,195.3450229827991,201.5784393745228,PER
8,151.34589595154222,152.0204885087156,PER
9,209.57217197619048,209.48796927591908,VER
10,274.9448333482667,271.96857080076194,VER
11,127.09583409382715,126.45091483397044,VER
12,202.4861101381818,205.36472166273754,PER
13,268.4737178666667,267.79499942399997,VER
14,287.056965543437,287.13066720309075,PER
15,294.580303030303,293.59257252173916,VER
16,256.14806301092324,247.3299851592947,VER
17,134.89728418935775,135.4125079698977,PER
18,129.25690242344322,130.0415860948986,PER
19,121.36456669528445,121.42160081090567,PER
20,223.87590443367682,221.4109693136225,VER
21,256.71739865387144,250.92746850088184,VER
22,245.26717740408162,238.49406152366893,VER
23,224.3432066608055,217.89231816666666,VER
24,138.73034992691638,141.60927631221534,PER
25,206.0,,VER
