Minisector,ALO,HAM,Fastest
0,279.4012531496013,279.22326349229417,ALO
1,129.3110914281704,128.8000119292803,ALO
2,154.3418028358773,152.72542289661814,ALO
3,206.75067296256532,214.81161170443423,HAM
4,165.9950696784849,167.45183851495798,HAM
5,242.73875995787117,242.84489026346182,HAM
6,220.04709686176048,216.76609832248855,ALO
7,132.7959509094466,134.25365657060323,HAM
8,232.71748408380952,228.43330400609526,ALO
9,274.97063267506724,271.89744408960627,ALO
10,284.5215125252149,282.53481438814816,ALO
11,150.9588441407898,154.48820264901772,HAM
12,216.40438204225148,211.6522628148148,ALO
13,266.66661298023496,264.73642868,ALO
14,264.100819441552,267.3686734239446,HAM
15,101.24368694741702,100.88165529293978,ALO
16,213.42090535996994,209.1876935813763,ALO
17,269.18329043666273,265.513837535014,ALO
18,289.7771648194211,289.19134912645825,ALO
19,300.4487514969705,300.84633759253035,HAM
20,304.1656862745098,304.26715686274514,HAM
21,284.3120300203654,290.71377860881836,HAM
22,151.45840586080237,156.18012761824087,HAM
23,232.45398366766744,226.87487015505104,ALO
24,275.4656510430461,272.8353796145273,ALO
25,,283.945,HAM
