Minisector,STR,SAI,Fastest
0,281.86556722096327,292.87462777610125,SAI
1,139.0042937082666,138.29162473738182,STR
2,212.1649866601271,217.34155548355943,SAI
3,277.73222816646285,281.68722959481687,SAI
4,308.9545157757098,309.6629553037242,SAI
5,295.5665526090386,310.2664989913553,SAI
6,149.2090669931654,155.6863770647849,SAI
7,241.95846581529608,245.13487684352577,SAI
8,112.13454946421606,113.6383011865882,SAI
9,160.43748220168916,158.76975658840297,STR
10,273.14021241417294,275.1639567975852,SAI
11,295.7060310730083,297.97526623749366,SAI
12,219.78759587238687,233.85954397226482,SAI
13,172.06847755437164,160.0658608665049,STR
14,273.08661232014947,274.20579921048085,SAI
15,308.8487982305465,309.0414207904876,SAI
16,321.4336368992299,323.70832020277754,SAI
17,328.68760324204777,331.83427200848917,SAI
18,330.7554261167702,335.6706124621619,SAI
19,326.247196919916,332.5911512685714,SAI
20,211.74770698285715,229.649568885893,SAI
21,161.00903039554288,152.38000837343245,STR
22,278.4181436388955,270.69493989723475,STR
23,309.46067703583117,309.45222919979483,STR
24,318.5277566401459,320.7744806178355,SAI
25,314.0,317.82733163328504,SAI
