Minisector,NOR,LEC,Fastest
0,253.10451822248342,252.1915607127006,NOR
1,218.06458803960365,223.14300846522283,LEC
2,212.8159034983492,205.85257287390598,NOR
3,263.1110624171683,259.71228558130366,NOR
4,276.4769380849879,275.52915802769627,NOR
5,291.99848800530845,288.8875160418104,NOR
6,160.45885959208275,166.77250925963483,LEC
7,183.39565520354748,182.95737493084158,NOR
8,269.8288757814133,268.45979086012807,NOR
9,296.846020779861,295.2109163503651,NOR
10,307.363416349052,306.74138901333333,NOR
11,303.6007544084474,307.4704743470329,LEC
12,108.78070653383969,114.59035205013073,LEC
13,187.29732370265566,189.4166307267625,LEC
14,268.953814552449,266.86867738487564,NOR
15,295.718076585996,293.3693158157761,NOR
16,295.7243716305577,298.20980022088094,LEC
17,194.00916009466417,194.20587834312963,LEC
18,221.3817182521549,218.6293906675413,NOR
19,273.08092109545146,268.224538182861,NOR
20,150.35220498071118,156.33472510206363,LEC
21,147.3714603949671,149.5756103638662,LEC
22,224.24314395249814,217.88976959619288,NOR
23,233.9646610437741,240.09740788914198,LEC
24,161.2627747628191,161.14992080781548,NOR
25,,225.28571062857142,LEC
