Minisector,LEC,STR,Fastest
0,252.1915607127006,248.2702349975593,LEC
1,223.14300846522283,212.36183687958976,LEC
2,205.85257287390598,209.89807395685784,STR
3,259.71228558130366,258.10324865811714,LEC
4,275.52915802769627,271.6930417941043,LEC
5,288.8875160418104,288.3967467344855,LEC
6,166.77250925963483,170.52284074110335,STR
7,182.95737493084158,167.2583709951626,LEC
8,268.45979086012807,268.6583037038326,STR
9,295.2109163503651,305.10421008504204,STR
10,306.74138901333333,323.11666900312986,STR
11,307.2426286298272,322.49054751285405,STR
12,110.67169867022274,113.66860345118683,STR
13,189.4166307267625,188.11551812254672,LEC
14,266.86867738487564,276.61255278802065,STR
15,293.3693158157761,313.22197249859846,STR
16,298.20980022088094,316.5164842954166,STR
17,194.20587834312963,187.85898021827617,LEC
18,218.6293906675413,219.82415101644278,STR
19,268.224538182861,262.54537461093656,LEC
20,156.33472510206363,147.75494340117888,LEC
21,149.5756103638662,141.10261578802968,LEC
22,217.88976959619288,212.96944392095978,LEC
23,240.09740788914198,235.0416841793829,LEC
24,161.14992080781548,154.66298884747377,LEC
25,225.28571062857142,223.68750346666667,LEC
