Minisector,PIA,ALO,Fastest
0,299.2296970354545,292.2503991029318,PIA
1,305.6160056532383,301.6462602191597,PIA
2,308.62339573048126,305.7182341663492,PIA
3,302.19914682539684,291.07643589610393,PIA
4,172.91500081574605,163.8154811465534,PIA
5,215.51718338686817,213.91085209794343,PIA
6,245.51820669018633,245.4166257768944,PIA
7,271.15977745775325,269.47676643598766,PIA
8,261.3758834527442,237.40746326857143,PIA
9,169.49386663449354,157.22566592426904,PIA
10,224.8332769341082,214.15783308788556,PIA
11,135.00481511698095,128.42654393166023,PIA
12,232.85445702216177,228.04843273167305,PIA
13,181.08650312622333,173.25590157108513,PIA
14,221.57684891927275,212.2141485625589,PIA
15,249.26826578434898,240.13642641849717,PIA
16,270.74850894857144,264.23636932595616,PIA
17,288.419704892506,288.1592496812953,PIA
18,157.9105687597279,144.71699230040815,PIA
19,179.11075612164257,165.60237422710773,PIA
20,143.52062682617853,134.73290282668736,PIA
21,236.037381277308,230.98424340870176,PIA
22,267.7938158135338,262.3452081965398,PIA
23,258.0944134433417,252.88015642,PIA
24,279.9615820746572,279.51763613325807,PIA
