Minisector,TSU,BEA,Fastest
0,249.45692882362303,248.33499344511503,TSU
1,284.7479092099048,284.737499952,TSU
2,179.2825028443224,163.11658635676338,TSU
3,159.79065162849503,155.60030850584695,TSU
4,256.0692460319414,254.16620999346995,TSU
5,268.2868110715509,269.245641420951,BEA
6,233.97351907849622,235.88483028223143,BEA
7,204.8984559717983,200.57628596899573,TSU
8,162.845806772047,161.44569326037623,TSU
9,216.54303290612248,216.59280357529445,BEA
10,269.45561285968256,269.4970158706842,BEA
11,135.55955436565682,122.72758096396062,TSU
12,209.49219061534862,216.0953551331482,BEA
13,276.3727231462434,277.1513415248198,BEA
14,295.528412888658,304.8712175511203,BEA
15,304.9730324177778,319.23715535772766,BEA
16,235.04651390093835,215.28897265786023,TSU
17,128.39105183019473,128.2762072394847,TSU
18,124.11248118736644,131.21039643578644,BEA
19,120.24561936611595,120.26088944346361,BEA
20,225.83463740145882,221.0472561963273,TSU
21,257.7741751836791,256.8570668394198,TSU
22,242.77854691003174,233.09160144365134,TSU
23,217.821463940922,209.14334387926823,TSU
24,133.36998497115226,137.63006903526957,BEA
25,215.8750048,,TSU
