Minisector,PIA,STR,Fastest
0,253.06232700391536,250.34847826497355,PIA
1,206.02886315649647,206.1336555097345,STR
2,203.22941095236658,209.71968672435375,STR
3,260.6706580296414,261.9302412303345,STR
4,276.7271363707937,273.4385912152381,PIA
5,290.0213646328889,289.3985911032381,PIA
6,158.78980230754334,152.8122999876886,PIA
7,179.69197748755212,187.3979643001371,STR
8,269.7154403881481,266.7206521261008,PIA
9,296.83989569765583,291.4978520070172,PIA
10,309.28464050306894,301.90143995791385,PIA
11,309.23881387795416,297.253703969161,PIA
12,111.58257730110215,111.85529048453984,STR
13,188.71512940911418,188.9136201609408,STR
14,271.285761565291,268.10617396363637,PIA
15,298.7632834807017,291.5075073427313,PIA
16,302.96682331936506,292.9157138066263,PIA
17,179.9791563197383,181.45871996869633,STR
18,218.6873936136127,214.8727684842328,PIA
19,268.3802057536508,255.10236509890072,PIA
20,161.6271930196029,152.6329485458503,PIA
21,142.62823678572283,146.2255637353916,STR
22,219.56865865912778,217.1555755548707,PIA
23,226.18223733028572,224.78495592685715,PIA
24,158.15378877442052,161.81208776382914,STR
25,222.7250048,,PIA
