Minisector,BEA,GAS,Fastest
0,324.3512756825397,327.37472590637805,GAS
1,225.875805985974,246.64563212010802,GAS
2,130.0266966138273,130.49941424859747,GAS
3,216.70515164223605,216.7134420593027,GAS
4,261.1423311632567,263.1154270190476,GAS
5,288.6562663335845,288.48269469595766,BEA
6,304.52343175887955,298.74712955880125,BEA
7,268.4690041596761,283.98955175195766,GAS
8,174.08035633085197,175.46205450910475,GAS
9,242.1722357664413,240.67970674750103,BEA
10,273.90042713766235,269.94561301124185,BEA
11,269.0597646608354,257.9809349029129,BEA
12,203.22678340902692,206.02570325887444,GAS
13,120.94504767352304,120.21237757394765,BEA
14,121.58902564955211,118.04725771896854,BEA
15,163.35725282907498,172.95184437504895,GAS
16,122.00247756188914,122.02436427306326,GAS
17,230.3563834115389,223.3936202144218,BEA
18,178.8466630247619,193.35069262868686,GAS
19,159.36430274553044,158.1026330725772,BEA
20,244.84204884723246,242.76436768128437,BEA
21,275.83330992887335,269.27411856285715,BEA
22,295.13450609333336,287.610231757037,BEA
23,313.5616426109904,299.00942643121,BEA
24,323.8158097188571,305.2568143222222,BEA
25,,308.0,GAS
