Minisector,ALO,BEA,Fastest
0,301.3231646710104,296.46930316880116,ALO
1,155.27294843792015,154.75790322850105,ALO
2,148.9252239707244,153.76479554552105,BEA
3,226.806279837788,223.27745680232587,ALO
4,285.99145034444444,288.546167481443,BEA
5,289.3553675522932,288.3940522325457,ALO
6,143.81027171084634,139.45937605199427,ALO
7,136.5403458529518,131.37389253878405,ALO
8,133.92226612705437,134.3695674201613,BEA
9,186.73565007407407,183.39223711353537,ALO
10,125.26431580999488,126.1632305980308,BEA
11,126.45197964129649,123.84381421998177,ALO
12,159.94054081823722,159.09608620323777,ALO
13,268.33945595163857,266.9815660299101,ALO
14,293.1027178666667,291.99648908128904,ALO
15,138.14810531024762,141.84874599698836,BEA
16,196.46196363330375,205.8497361222039,BEA
17,164.63615249670664,163.7540478786981,ALO
18,272.2481502374432,270.89030739890575,ALO
19,294.8507396858608,296.97678596571427,BEA
20,309.10941647375705,312.4373461833358,BEA
21,317.3128655345029,322.1577993062185,BEA
22,322.3279816171768,325.8944446893827,BEA
23,325.8815908072727,328.37351220984505,BEA
24,325.5971490694737,328.1412246666667,BEA
25,323.2240667426522,324.0,BEA
