Minisector,HAM,VET,Fastest
0,261.7063930095161,258.3620213424225,HAM
1,216.35432116989247,224.00591566451615,VET
2,141.0577426816193,143.12053329619067,VET
3,230.10735023893002,240.79323892789117,VET
4,269.33421733052717,270.05471066174704,VET
5,179.4951715273049,182.45541228148147,VET
6,99.80420220969494,99.27777798214555,HAM
7,136.12415267396324,133.45112823479107,HAM
8,248.21667628464013,247.86990255824654,HAM
9,163.54508503826548,169.21052359859297,VET
10,183.91286087406635,181.76800072099422,HAM
11,253.99272339004102,252.09341684627762,HAM
12,234.16182269162562,235.55208342857142,VET
13,251.30990791991533,256.3821808924276,VET
14,279.12323336811596,278.92789815652174,HAM
15,264.7504620355624,275.49950237866665,VET
16,141.32097813173547,138.9142322962225,HAM
17,232.0618028586884,232.39393801773525,VET
18,278.93904751701865,276.5755201777778,HAM
19,290.7713767884058,286.3624999884058,HAM
20,295.06159411014494,289.08829702492756,HAM
21,300.83829363809525,293.9536231884058,HAM
22,148.51642731731155,151.86629177238783,VET
23,84.79528129856695,81.32899140744392,HAM
24,168.27287129174152,163.38449810448145,HAM
25,241.88333226666666,240.7874976,HAM
