Minisector,BOT,OCO,Fastest
0,234.62629642045394,230.10547792038759,BOT
1,290.09288425974023,288.00334437732425,BOT
2,306.83270842666667,304.55912685714287,BOT
3,311.7688392990476,310.8763813085826,BOT
4,280.42322201405693,280.12554620289853,BOT
5,169.53386943716933,166.8816607395961,BOT
6,263.80892888253965,262.99526600013263,BOT
7,283.88384040865964,284.1866071203463,OCO
8,220.85292561269839,209.44995646738917,BOT
9,219.5036714754642,216.4756148912972,BOT
10,192.9764605922078,181.63584736651072,BOT
11,225.4221160661309,221.0930028378601,BOT
12,207.0972731371483,201.47824009963966,BOT
13,219.86192510213465,211.8981508594539,BOT
14,220.9494152382958,217.37514084834098,BOT
15,182.0150555204482,176.54757782009435,BOT
16,250.34541344041165,245.52803601559208,BOT
17,294.3640151757576,295.3529584148283,OCO
18,314.17658460208054,313.9608331047619,BOT
19,303.14316670933334,309.4893518528393,OCO
20,130.14873208619736,128.78830776283462,BOT
21,160.41370358116046,164.41549941490356,OCO
22,156.80638740684802,139.92710144342524,BOT
23,205.86188103465102,211.39448604958747,OCO
24,147.63034098692376,140.80481513758252,BOT
25,,146.8947912,OCO
