Minisector,VER,PIA,Fastest
0,294.60042982617733,304.88092105006103,PIA
1,308.2170832059259,322.34406757079364,PIA
2,312.81507789444055,329.3374448536961,PIA
3,315.239000192,332.43945723928766,PIA
4,184.67360545393416,196.08132439844798,PIA
5,217.20296244311763,214.51690609591736,VER
6,269.91815428571425,266.34854220444447,VER
7,262.5445688465876,261.00190488685604,VER
8,185.39013423972247,189.5835166278458,PIA
9,142.89305874353875,149.73780376619527,PIA
10,178.7636438927473,169.9054567419094,VER
11,256.1953962502618,256.54086216274567,PIA
12,247.08079405756106,251.8019805692517,PIA
13,225.38012413675503,221.66708771156462,VER
14,263.9209198041366,265.9757237838596,PIA
15,160.4956008859152,166.47201556744466,PIA
16,220.10413735963223,213.19812921993963,VER
17,238.61102867712307,245.1483233693196,PIA
18,132.37131296922306,131.65136899162468,VER
19,236.43036333108415,233.66123154456446,VER
20,280.0112992137143,277.995875312,VER
21,244.24969578567305,251.39301623149123,PIA
22,136.06328044723512,139.17875719470763,PIA
23,201.3006803212069,201.59755300933617,PIA
24,269.8164980814368,269.65166219123086,VER
25,284.01500032,283.74999893333336,VER
