Minisector,NOR,GAS,Fastest
0,256.0258425892421,246.8248190698811,NOR
1,219.4291104711111,206.6606284111744,NOR
2,208.60635845121953,204.7485277872364,NOR
3,254.97757587925926,257.6645118983496,GAS
4,269.94046707678433,271.70981688463786,GAS
5,290.4280209303704,285.15861190143704,NOR
6,160.0710333003954,161.13165498469135,GAS
7,179.2797747697831,178.543064274259,NOR
8,265.86047156221423,264.2931301278213,NOR
9,298.0235906361905,291.4878767339683,NOR
10,310.24657505619706,303.7570394180117,NOR
11,313.0848212503704,301.45368441559486,NOR
12,117.73519555626284,109.89959611864253,NOR
13,185.8269131817344,179.7072256702381,NOR
14,268.5752185396825,264.0802746648813,NOR
15,294.63360844879816,290.9458832946366,NOR
16,302.49833333333333,292.4498637512143,NOR
17,191.09225170493508,191.19794740436976,GAS
18,222.1303346982313,214.88474801002147,NOR
19,272.5963526250292,261.2072364262857,NOR
20,146.24462385738707,148.95246072395187,GAS
21,142.86658578051558,141.25297050954998,NOR
22,217.78814999558097,209.36052380971194,NOR
23,234.03343650841012,235.08709711873016,GAS
24,161.4220758711496,153.70952844444443,NOR
25,224.85499776,220.95999999999998,NOR
